model,category,gt_count,pred,abs_err
Ours,balloons,3,9,6
Ours,balloons,5,9,4
Ours,balloons,7,12,5
Ours,balloons,9,9,0
Ours,balloons,11,12,1
Ours,balloons,13,32,19
Ours,balloons,15,22,7
Ours,balloons,17,24,7
Ours,cars,3,3,0
Ours,cars,5,4,1
Ours,cars,7,4,3
Ours,cars,9,3,6
Ours,cars,11,23,12
Ours,cars,13,22,9
Ours,cars,15,20,5
Ours,cars,17,25,8
Ours,cats,3,4,1
Ours,cats,5,4,1
Ours,cats,7,6,1
Ours,cats,9,9,0
Ours,cats,11,16,5
Ours,cats,13,20,7
Ours,cats,15,10,5
Ours,cats,17,19,2
Ours,chicks,3,3,0
Ours,chicks,5,3,2
Ours,chicks,7,9,2
Ours,chicks,9,9,0
Ours,chicks,11,9,2
Ours,chicks,13,17,4
Ours,chicks,15,13,2
Ours,chicks,17,15,2
Ours,clocks,3,2,1
Ours,clocks,5,8,3
Ours,clocks,7,8,1
Ours,clocks,9,9,0
Ours,clocks,11,12,1
Ours,clocks,13,16,3
Ours,clocks,15,16,1
Ours,clocks,17,18,1
Ours,donuts,3,1,2
Ours,donuts,5,5,0
Ours,donuts,7,8,1
Ours,donuts,9,9,0
Ours,donuts,11,4,7
Ours,donuts,13,0,13
Ours,donuts,15,0,15
Ours,donuts,17,23,6
Ours,eggs,3,1,2
Ours,eggs,5,5,0
Ours,eggs,7,9,2
Ours,eggs,9,7,2
Ours,eggs,11,3,8
Ours,eggs,13,3,10
Ours,eggs,15,0,15
Ours,eggs,17,0,17
Ours,horses,3,5,2
Ours,horses,5,3,2
Ours,horses,7,12,5
Ours,horses,9,9,0
Ours,horses,11,16,5
Ours,horses,13,20,7
Ours,horses,15,0,15
Ours,horses,17,20,3
Ours,onions,3,7,4
Ours,onions,5,6,1
Ours,onions,7,10,3
Ours,onions,9,8,1
Ours,onions,11,12,1
Ours,onions,13,17,4
Ours,onions,15,7,8
Ours,onions,17,3,14
Ours,chairs,3,3,0
Ours,chairs,5,4,1
Ours,chairs,7,9,2
Ours,chairs,9,10,1
Ours,chairs,11,12,1
Ours,chairs,13,13,0
Ours,chairs,15,19,4
Ours,chairs,17,20,3
Ours,apples,3,4,1
Ours,apples,5,7,2
Ours,apples,7,8,1
Ours,apples,9,15,6
Ours,apples,11,11,0
Ours,apples,13,5,8
Ours,apples,15,17,2
Ours,apples,17,20,3
Layout Control,balloons,3,4,1
Layout Control,balloons,5,3,2
Layout Control,balloons,7,11,4
Layout Control,balloons,9,29,20
Layout Control,balloons,11,17,6
Layout Control,balloons,13,21,8
Layout Control,balloons,15,5,10
Layout Control,balloons,17,21,4
Layout Control,cars,3,0,3
Layout Control,cars,5,0,5
Layout Control,cars,7,0,7
Layout Control,cars,9,0,9
Layout Control,cars,11,0,11
Layout Control,cars,13,0,13
Layout Control,cars,15,0,15
Layout Control,cars,17,0,17
Layout Control,cats,3,3,0
Layout Control,cats,5,3,2
Layout Control,cats,7,5,2
Layout Control,cats,9,1,8
Layout Control,cats,11,0,11
Layout Control,cats,13,0,13
Layout Control,cats,15,0,15
Layout Control,cats,17,0,17
Layout Control,chicks,3,0,3
Layout Control,chicks,5,0,5
Layout Control,chicks,7,0,7
Layout Control,chicks,9,0,9
Layout Control,chicks,11,0,11
Layout Control,chicks,13,0,13
Layout Control,chicks,15,0,15
Layout Control,chicks,17,0,17
Layout Control,clocks,3,2,1
Layout Control,clocks,5,1,4
Layout Control,clocks,7,11,4
Layout Control,clocks,9,12,3
Layout Control,clocks,11,11,0
Layout Control,clocks,13,0,13
Layout Control,clocks,15,11,4
Layout Control,clocks,17,9,8
Layout Control,donuts,3,2,1
Layout Control,donuts,5,2,3
Layout Control,donuts,7,4,3
Layout Control,donuts,9,4,5
Layout Control,donuts,11,3,8
Layout Control,donuts,13,5,8
Layout Control,donuts,15,4,11
Layout Control,donuts,17,4,13
Layout Control,eggs,3,0,3
Layout Control,eggs,5,0,5
Layout Control,eggs,7,0,7
Layout Control,eggs,9,0,9
Layout Control,eggs,11,0,11
Layout Control,eggs,13,0,13
Layout Control,eggs,15,0,15
Layout Control,eggs,17,0,17
Layout Control,horses,3,3,0
Layout Control,horses,5,3,2
Layout Control,horses,7,2,5
Layout Control,horses,9,3,6
Layout Control,horses,11,2,9
Layout Control,horses,13,2,11
Layout Control,horses,15,2,13
Layout Control,horses,17,2,15
Layout Control,onions,3,0,3
Layout Control,onions,5,3,2
Layout Control,onions,7,1,6
Layout Control,onions,9,2,7
Layout Control,onions,11,1,10
Layout Control,onions,13,0,13
Layout Control,onions,15,2,13
Layout Control,onions,17,0,17
Layout Control,chairs,3,3,0
Layout Control,chairs,5,2,3
Layout Control,chairs,7,2,5
Layout Control,chairs,9,2,7
Layout Control,chairs,11,2,9
Layout Control,chairs,13,4,9
Layout Control,chairs,15,3,12
Layout Control,chairs,17,2,15
Layout Control,apples,3,3,0
Layout Control,apples,5,4,1
Layout Control,apples,7,0,7
Layout Control,apples,9,5,4
Layout Control,apples,11,2,9
Layout Control,apples,13,0,13
Layout Control,apples,15,5,10
Layout Control,apples,17,1,16
Attend Excite,balloons,3,3,0
Attend Excite,balloons,5,5,0
Attend Excite,balloons,7,4,3
Attend Excite,balloons,9,8,1
Attend Excite,balloons,11,2,9
Attend Excite,balloons,13,11,2
Attend Excite,balloons,15,4,11
Attend Excite,balloons,17,1,16
Attend Excite,cars,3,0,3
Attend Excite,cars,5,0,5
Attend Excite,cars,7,0,7
Attend Excite,cars,9,0,9
Attend Excite,cars,11,0,11
Attend Excite,cars,13,0,13
Attend Excite,cars,15,0,15
